scenario,model_selection,ground_truth_selection,A_attr1,A_attr2,A_attr3,A_attr4,A_attr5,B_attr1,B_attr2,B_attr3,B_attr4,B_attr5
loose_leaf_tea,A,A,23.0,2.0,65.0,1.0,5.0,26.0,1.0,51.0,1.0,4.0
loose_leaf_tea,A,B,5.0,1.0,42.0,6.0,2.0,16.0,6.0,95.0,4.0,4.0
loose_leaf_tea,A,B,68.0,1.0,86.0,3.0,2.0,8.0,3.0,82.0,2.0,5.0
loose_leaf_tea,A,B,45.0,4.0,55.0,1.0,1.0,14.0,7.0,43.0,3.0,5.0
loose_leaf_tea,A,B,32.0,3.0,79.0,5.0,3.0,40.0,5.0,88.0,5.0,3.0
loose_leaf_tea,A,B,69.0,1.0,42.0,6.0,2.0,34.0,0.0,67.0,6.0,5.0
loose_leaf_tea,A,B,61.0,3.0,70.0,5.0,5.0,32.0,8.0,94.0,4.0,6.0
loose_leaf_tea,A,B,4.0,7.0,65.0,7.0,7.0,20.0,4.0,67.0,1.0,4.0
loose_leaf_tea,A,B,12.0,1.0,6.0,6.0,2.0,17.0,4.0,87.0,1.0,4.0
loose_leaf_tea,A,A,38.0,9.0,82.0,6.0,3.0,29.0,4.0,88.0,7.0,2.0
loose_leaf_tea,A,A,12.0,2.0,23.0,4.0,5.0,18.0,0.0,42.0,3.0,5.0
loose_leaf_tea,A,B,67.0,7.0,52.0,5.0,6.0,4.0,9.0,78.0,6.0,7.0
loose_leaf_tea,A,B,27.0,4.0,10.0,5.0,1.0,5.0,2.0,16.0,3.0,1.0
loose_leaf_tea,A,A,0.0,2.0,10.0,3.0,1.0,61.0,6.0,15.0,3.0,3.0
loose_leaf_tea,A,A,25.0,1.0,85.0,7.0,4.0,34.0,1.0,10.0,3.0,3.0
loose_leaf_tea,A,B,58.0,2.0,2.0,7.0,5.0,10.0,5.0,3.0,4.0,8.0
loose_leaf_tea,A,B,60.0,7.0,26.0,3.0,2.0,54.0,5.0,78.0,3.0,3.0
loose_leaf_tea,A,A,57.0,10.0,85.0,6.0,7.0,52.0,2.0,52.0,3.0,1.0
loose_leaf_tea,A,B,2.0,3.0,26.0,5.0,8.0,31.0,9.0,99.0,7.0,4.0
loose_leaf_tea,A,A,15.0,2.0,20.0,2.0,5.0,63.0,8.0,48.0,5.0,7.0
loose_leaf_tea,A,A,6.0,7.0,91.0,6.0,6.0,33.0,2.0,79.0,3.0,7.0
loose_leaf_tea,A,B,68.0,4.0,40.0,7.0,6.0,12.0,1.0,15.0,6.0,7.0
loose_leaf_tea,A,A,10.0,8.0,98.0,5.0,3.0,38.0,1.0,1.0,7.0,6.0
loose_leaf_tea,A,B,37.0,9.0,43.0,6.0,7.0,15.0,3.0,29.0,2.0,5.0
loose_leaf_tea,A,B,18.0,4.0,13.0,6.0,3.0,32.0,6.0,90.0,4.0,7.0
loose_leaf_tea,A,A,35.0,5.0,52.0,1.0,4.0,13.0,0.0,80.0,2.0,4.0
loose_leaf_tea,A,A,51.0,6.0,33.0,4.0,5.0,55.0,1.0,56.0,2.0,3.0
loose_leaf_tea,A,B,54.0,5.0,56.0,6.0,7.0,31.0,6.0,51.0,4.0,6.0
loose_leaf_tea,A,B,32.0,5.0,48.0,7.0,6.0,61.0,9.0,26.0,4.0,8.0
loose_leaf_tea,A,B,59.0,1.0,12.0,4.0,2.0,17.0,1.0,67.0,6.0,7.0
loose_leaf_tea,A,A,11.0,7.0,66.0,2.0,7.0,68.0,2.0,95.0,3.0,4.0
loose_leaf_tea,A,B,69.0,8.0,16.0,4.0,5.0,24.0,2.0,32.0,5.0,1.0
loose_leaf_tea,A,B,39.0,4.0,2.0,3.0,5.0,36.0,1.0,99.0,6.0,8.0
loose_leaf_tea,A,B,7.0,3.0,4.0,6.0,3.0,9.0,4.0,91.0,6.0,3.0
loose_leaf_tea,A,B,10.0,9.0,57.0,5.0,2.0,4.0,7.0,43.0,1.0,8.0
loose_leaf_tea,A,A,44.0,8.0,8.0,6.0,1.0,60.0,5.0,34.0,4.0,7.0
loose_leaf_tea,A,A,19.0,1.0,53.0,2.0,2.0,11.0,1.0,20.0,3.0,3.0
loose_leaf_tea,A,B,53.0,3.0,50.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0
loose_leaf_tea,A,A,13.0,5.0,93.0,2.0,7.0,30.0,5.0,83.0,3.0,5.0
loose_leaf_tea,A,B,48.0,10.0,34.0,6.0,6.0,45.0,4.0,35.0,1.0,2.0
loose_leaf_tea,A,A,5.0,7.0,26.0,2.0,2.0,59.0,9.0,67.0,3.0,3.0
