scenario,attr1,attr2,attr3,attr4,attr5
loose_leaf_tea,0.0,0.0,0.0,0.0,0.0
cutting_board,0.0,0.0,0.0,0.0,0.0
knee_pads,0.0,0.0,0.0,0.0,0.0
ice_cream,0.0,0.0,0.0,0.0,0.0
painters_tape,0.0,0.0,0.0,0.0,0.0
olive_pitter,0.0,0.0,0.0,0.0,0.0
wood_burner,0.0,0.0,0.0,0.0,0.0
hotel,0.0,0.0,0.0,0.0,0.0
hot_glue_sticks,0.0,0.0,0.0,0.0,0.0
scrunchie,0.0,0.0,0.0,0.0,0.0
rfid_wallet,0.0,0.0,0.0,0.0,0.0
blush,0.0,0.0,0.0,0.0,0.0
cocktail_kit,0.0,0.0,0.0,0.0,0.0
security_camera,0.0,0.0,0.0,0.0,0.0
shuffleboard_table,0.0,0.0,0.0,0.0,0.0
reusable_bag,0.0,0.0,0.0,0.0,0.0
luggage_tag,0.0,0.0,0.0,0.0,0.0
inversion_table,0.0,0.0,0.0,0.0,0.0
shower_curtain,0.0,0.0,0.0,0.0,0.0
milk_storage_bags,-0.3256395465837214,0.900275472773959,0.9319950578462413,-0.47935886320658966,0.561107174895153
nail_file,-1.6633956337226052,0.07553631501216199,-0.7470109970463599,-0.22479742091988114,0.2779286553050008
pasta_maker,0.0,0.0,0.0,0.0,0.0
washing_machine,0.0,0.0,0.0,0.0,0.0
easel,0.0,0.0,0.0,0.0,0.0
salmon,0.0,0.0,0.0,0.0,0.0
magnetic_calendar,0.0,0.0,0.0,0.0,0.0
ham,0.0,0.0,0.0,0.0,0.0
snow_blower,0.0,0.0,0.0,0.0,0.0
ecg_monitor,0.0,0.0,0.0,0.0,0.0
dslr_camera,0.0,0.0,0.0,0.0,0.0
convertible,0.0,0.0,0.0,0.0,0.0
washi_tape,-0.08057708678302258,-0.13721321875680506,-1.0419358460076842,0.7736214385061945,1.4923469469212256
dry_bag,0.0,0.0,0.0,0.0,0.0
hair_dryer,0.5203723279533464,1.9789500843844101,-2.2030988580022877,0.9758664838717203,-1.4252910831051626
balance_board,0.0,0.0,0.0,0.0,0.0
hoodie,0.0,0.0,0.0,0.0,0.0
loan,0.0,0.0,0.0,0.0,0.0
mold_test,0.0,0.0,0.0,0.0,0.0
boxing_gloves,0.0,0.0,0.0,0.0,0.0
citrus_juicer,0.0,0.0,0.0,0.0,0.0
stopwatch,0.6455582558865518,-0.739370414106827,-1.2744448365163972,0.3334272917437434,0.676190781233752
fins,0.0,0.0,0.0,0.0,0.0
lip_scrub,0.0,0.0,0.0,0.0,0.0
hoe,0.0,0.0,0.0,0.0,0.0
pilates_ring,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0
sparkling_water,0.0,0.0,0.0,0.0,0.0
gas_can,0.0,0.0,0.0,0.0,0.0
golf_cart,0.0,0.0,0.0,0.0,0.0
tongs,0.0,0.0,0.0,0.0,0.0
sippy_cup,0.0,0.0,0.0,0.0,0.0
windshield_cover,0.0,0.0,0.0,0.0,0.0
console,0.0,0.0,0.0,0.0,0.0
stapler,0.0,0.0,0.0,0.0,0.0
jewelry_kit,0.0,0.0,0.0,0.0,0.0
antenna,0.0,0.0,0.0,0.0,0.0
house,0.0,0.0,0.0,0.0,0.0
electric_grill,0.0,0.0,0.0,0.0,0.0
tea,1.0863152526132973,0.3799687933084985,-1.2101352290144618,-0.7942011150547329,-0.5405921473730269
lint_roller,0.0,0.0,0.0,0.0,0.0
diaper_bag,0.0,0.0,0.0,0.0,0.0
sponges,0.0,0.0,0.0,0.0,0.0
popcorn,0.0,0.0,0.0,0.0,0.0
recliner,0.0,0.0,0.0,0.0,0.0
arrows,0.0,0.0,0.0,0.0,0.0
pattern_weights,0.0,0.0,0.0,0.0,0.0
wheelbarrow,0.0,0.0,0.0,0.0,0.0
soil,0.0,0.0,0.0,0.0,0.0
sleeping_bag,0.0,0.0,0.0,0.0,0.0
paper_towel,0.0,0.0,0.0,0.0,0.0
outdoor_tv_cover,0.0,0.0,0.0,0.0,0.0
tamper,0.0,0.0,0.0,0.0,0.0
garment_steamer,0.0,0.0,0.0,0.0,0.0
alcohol_markers,0.0,0.0,0.0,0.0,0.0
rabbit,0.0,0.0,0.0,0.0,0.0
bracelet,0.0,0.0,0.0,0.0,0.0
adapter,0.0,0.0,0.0,0.0,0.0
night_light,0.0,0.0,0.0,0.0,0.0
travel_wallet,0.0,0.0,0.0,0.0,0.0
central_vacuum,0.0,0.0,0.0,0.0,0.0
microwave_cover,0.0,0.0,0.0,0.0,0.0
porch_swing,0.0,0.0,0.0,0.0,0.0
stability_ball,0.0,0.0,0.0,0.0,0.0
ink_cartridge,0.0,0.0,0.0,0.0,0.0
wood_glue,0.0,0.0,0.0,0.0,0.0
sleep_sack,-0.34806714254246035,0.000705622538698851,-0.370728860975743,-1.8551716932500288,-1.2981902750585397
mixer,0.0,0.0,0.0,0.0,0.0
dominoes,0.0,0.0,0.0,0.0,0.0
crochet_hook,0.0,0.0,0.0,0.0,0.0
sawhorse,0.0,0.0,0.0,0.0,0.0
stockings,0.0,0.0,0.0,0.0,0.0
fabric_markers,0.0,0.0,0.0,0.0,0.0
cherry_pitter,0.0,0.0,0.0,0.0,0.0
amusement_park,0.0,0.0,0.0,0.0,0.0
snow_brush,0.0,0.0,0.0,0.0,0.0
safety_pins,0.0,0.0,0.0,0.0,0.0
sewing_machine,1.4058126423147823,0.4611034603888802,-0.6452939465656481,0.6456892929753305,-1.1455307457304256
pressure_cooker,0.0,0.0,0.0,0.0,0.0
necklace_stand,0.0,0.0,0.0,0.0,0.0
soccer_ball,0.0,0.0,0.0,0.0,0.0
